1	hola		4	-1	¿Crees que las máquinas son inteligentes?	0
2	si y tu		7	-1	¿Crees que las máquinas pueden pensar?	0
3	no porque		9	-1	¿Cúal es tu actor favorito?	0
4	james bond y el tuyo		20	-1	¿Cuál es tu mejor recuerdo de infancia?	0
5	la niñez cuál es tu película favorita	cuál es tu película	19	0.9187851	Me estás preguntando sobre mi película ?	1
6	así es me la puedes decir porfavor	así es	28	0.73374248	¿Cómo?	1
7	cuál es tu actor favorito	cuál es tu actor favorito	0	0.98339641	Mi actor favorito es Arnold Schwarzenegger en "Terminator".	1
8	y tu música favorita	y tu música favorita	0	0.95846277	Me encantan las canciones de Daft Punk.	1
9	adiós	adiós	0	0.64135247	Espero haber sido de ayuda.	1
1	Hola	Hola	0	0.95210308	Hola.	1
2	cómo estás	cómo estás	0	0.84093755	Yo estoy bien, ¿y tú?	1
3	donde queda panamá		19	-1	¿Cuál es tu mejor recuerdo de infancia?	1
4	jugar fútbol		13	-1		0
1	cuál es tu deporte favorito	cuál es tu deporte favorito	0	0.93554485	Me gustan los deportes personales como el patinaje.	1
2	qué geografía te gusta		24	-1	Cuentame, ¿Que hay de nuevo?	0
3	dime algún invento innovador	dime algún invento innova	3	0.94067383	¿Quieres algo en especial? Repite porfavor	1
4	inteligencia artificial	inteligencia artificial	0	0.98001736	La Inteligencia Artificial es una rama de investigación que engloba varias áreas.	1
5	un robot es inteligente		23	-1	¿Cuál es tu color favorito?	0
6	cuál es tu color favorito	cuál es tu color favorito	0	0.98001736	¿Cuál es tu color favorito?	0
7	cuántos años tienes tú	cuántos años tienes tú	0	0.97779751	Tengo 2 años, ¿y tú?	1
8	qué deporte prácticas	qué deporte prácticas	0	0.97666401	Qué crees?	0
9	cuál país te gusta	cuál país te gusta	0	0.96727705	El primero  uno, creo.	0
10	adiós	adiós	0	0.61338973	Espero verte de nuevo.	1
1	cuál es tu deporte favorito	deporte favorito	12	0.72287083	Repite porfavor	1
2	cuál es tu deporte favorito	cuál es tu deporte favorito	0	0.98001736	Me gustan los deportes personales como el patinaje.	1
3	donde está ubicado Panamá	donde está ubicado Panamá	0	0.98004049	No he escuchado bien, podrias repetir lo que haz dicho.	1
4	donde está ubicado el país de Panamá	donde está ubicado el país de Panamá	0	0.97071272	Se necesita un algoritmo mas complejo para responder eso correctamente.	1
5	qué es la inteligencia artificial	qué es la inteligencia artificial	0	0.96785796	¿Acaso crees que soy una enciclopedia viviente?	1
6	qué significa Mecatrónica	que signifie	16	0.78261805	¿Que dijiste?	1
7	qué significa Mecatrónica	qué significa Mecatrónica	0	0.9672305	Qué crees?	1
8	quién inventó el automóvil		29	-1	¿Crees que hay vida después de la muerte?	0
9	quién inventó el automóvil	quién inventó el automóvil	0	0.91426408	Tony Blair. :-)	1
10	adiós		6	-1	¿Cúal es tu actor favorito?	0
11	adiós	adiós	0	0.83913058	Hasta luego.	1
1	mencióname dos deportes		24	-1	¿Cuál es tu película favorita?	0
2	mencióname dos deportes		24	-1	Cuentame, ¿Que hay de nuevo?	0
3	dónde queda Canadá	dónde queda Canadá	0	0.9622798	Canadá es una nación enorme que ocupa gran parte del continente norteamericano.	1
4	quién inventó el celular	quién inventó el celular	0	0.98001736	David Bacon. :-)	1
5	que es inteligencia artificial	que es inteligencia artificial	0	0.97415829	¿Acaso crees que soy una enciclopedia viviente?	1
6	quién fue alf		14	-1	¿Cúal es tu actriz favorita?	0
7	quién fue alf		14	-1	¿Cuál es tu película favorita?	0
8	adiós	adiós	0	0.88586175	Espero haber sido de ayuda.	1
1	Hola	Hola	0	0.91066313	Saludos.	1
2	dónde queda Alemania	dónde queda Alemania	0	0.94233459	Alemania es un país de Europa Central.	1
