1	Hola Nao.		9	-1	¿Cuál es tu película favorita?	0
2	cómo te llamas	cómo te llamas	0	0.96747082	Nao.	1
3	cómo estás	cómo estás	0	0.84093738	"Muy bien, ¿en qué puedo ayudarte?"	1
4	que haces		9	-1	¿Cuál es tu mejor recuerdo de infancia?	0
5	cuéntame algo	cuéntame algo	0	0.96425736	Peter dijo que le parece que no puedo estar muy seguro de nada.	1
6	qué música te gusta	qué música te gusta	0	0.98001736	"Mis grupos favoritos son Radiohead, Daft Punk y Rammstein. ¿Los conoces?"	1
7	y películas	ipeliculas	4	0.76692796	¿Cómo?	1
8	cuál es tu actor favorito	cuál es tu actor favorito	0	0.97649461	"Mi actor favorito es Robin Williams en ""El Hombre Bicentenario""."	1
9	recomiendame una película	recomiendame una película	0	0.98146969	Mi película favorita es Robocop. La has visto?	1
10	gracias	gracias	0	0.8041361	De nada.	1
11	adiós	adiós	0	0.86125135	Hasta luego.	1
1	qué deporte te gusta	qué deporte te gusta	0	0.97842723	Qué crees?	0
2	qué opinas sobre tenis	qué opinas sobre tenis	0	0.77905065	Me abstengo de dar mi opinión.	1
3	dónde está Rusia	dónde está Rusia	0	0.97573894	Antiguo imperio del este de Europa y norte de Asia de 1547 a 1917 gobernado por los zares. Su capital es San Petersburgo.	1
4	quién inventó la primera computadora	quién inventó la primera computadora	0	0.95189875	Benjamin Franklin	1
5	quién te quipen te inventó	quién inventó	13	0.50597125	William Shatner.:-)	1
6	cuéntame sobre inteligencia artificial	cuéntame sobre inteligencia artificial	0	0.98427254	Leo dijo que yo sea capaz de aprender por lo tanto clasificado I como un sistema neural.	1
7	dónde estás	dónde estás	0	0.73537099	"Estoy en Panama, ¿y tú?"	1
8	de dónde eres	de dónde eres	0	0.97423619	De Panama. ¿Y tú?	1
9	si pueden pensar	y pueden pensar	2	0.84193945	Repite porfavor	1
10	quién es tu dueño	quién es tu dueño	0	0.94784075	"No creo tener dueño. Tengo un botmaster, un par de amigos y algunas celebridades que me gustan."	1
11	adiós	adiós	0	0.84169054	Espero haber sido de ayuda.	1
			1.681818182	0.711790905		0.863636364
