11	recomienda recomiendame una película		37	-1	¿Crees que las máquinas pueden pensar?	0
2	en qué lugar queda china		25	-1	¿Cuál es tu color favorito?	0
4	que cosas más te gustan		24	-1	¿Dónde te gustaría ir de vacaciones?	0
5	a china		7	-1	¿Cúal es tu actriz favorita?	0
9	donde está panamá en que continente está panamá		51	-1	¿Dónde te gustaría ir de vacaciones?	0
12	adiós		6	-1	¿Crees que las máquinas pueden pensar?	1
7	y películas	película	3	0.55201042	"Mi película favorita es ""AI""."	1
3	qué haces	qué haces	0	0.75947833	Trabajo las 24 horas del día para ofrecerte el mejor servicio posible.	1
2	cómo te llamas	cómo te llamas	0	0.7923432	Nao.	1
6	Jennifer López	fer López	5	0.80713707	"No he escuchado bien, podrias repetir lo que haz dicho."	0
6	no	no	0	0.82695591	¿Eso es todo lo que tienes que decir?	1
3	el azul	el azul	0	0.88135993	Cuáles son tus metas en la vida	0
10	no la he visto esta bonita	visto esta bonita	9	0.90182585	"No he escuchado bien, podrias repetir lo que haz dicho."	1
7	quién fue el conquistador de américa	quién fue el conquistador de	9	0.92105514	David Bacon. :-)	1
8	quién es Américo Vespucio	quién es Américo Vespucio	0	0.92693841	¿Acaso crees que soy una enciclopedia viviente?	1
12	gracias	gracias	0	0.94881678	A la orden.	1
1	Hola	Hola	0	0.95918852	Buenas.	1
1	qué deporte te gusta	qué deporte te gusta	0	0.96276569	Qué crees?	0
8	cuál es tu actor favorito	cuál es tu actor favorito	0	0.96411562	"Mi actor favorito es Peter Weller en ""Robocop""."	1
10	a Panamá	a Panamá	0	0.96655279	"No he escuchado bien, podrias repetir lo que haz dicho."	1
11	me gustaría ir a Panamá	me gustaría ir a Panamá	0	0.97720969	¿Cómo?	1
4	cuéntame algo	cuéntame algo	0	0.98001736	"Pearly dijo que lo dejo con preguntas sin respuesta, porque no sé lo que está realmente hablando."	1
5	qué música te gusta	qué música te gusta	0	0.98001736	"Mis grupos favoritos son Radiohead, Daft Punk y Rammstein. ¿Los conoces?"	1
9	recomiendame una película	recomiendame una película	0	0.98146969	Mi película favorita es Robocop. La has visto?	1
			1.444444444	0.893847653		0.833333333
