1	Hola	Hola	0	0.95918852	Buenas.	1
2	cómo te llamas	cómo te llamas	0	0.7923432	Nao.	1
3	qué haces	qué haces	0	0.75947833	Trabajo las 24 horas del día para ofrecerte el mejor servicio posible.	1
4	cuéntame algo	cuéntame algo	0	0.98001736	Pearly dijo que lo dejo con preguntas sin respuesta, porque no sé lo que está realmente hablando.	1
5	qué música te gusta	qué música te gusta	0	0.98001736	Mis grupos favoritos son Radiohead, Daft Punk y Rammstein. ¿Los conoces?	1
6	no	no	0	0.82695591	¿Eso es todo lo que tienes que decir?	1
7	y películas	película	3	0.55201042	Mi película favorita es "AI".	1
8	cuál es tu actor favorito	cuál es tu actor favorito	0	0.96411562	Mi actor favorito es Peter Weller en "Robocop".	1
9	recomiendame una película	recomiendame una película	0	0.98146969	Mi película favorita es Robocop. La has visto?	1
10	no la he visto esta bonita	visto esta bonita	9	0.90182585	No he escuchado bien, podrias repetir lo que haz dicho.	1
11	recomienda recomiendame una película		37	-1	¿Crees que las máquinas pueden pensar?	0
12	gracias	gracias	0	0.94881678	A la orden.	1
