1	Hola	Hola	0	0.95833391	Hola, ¿qué hay?	1
2	cómo te llamas	cómo te llamas	0	0.93328351	Nao, ¿y tú?	1
3	Ariadna como estás	haría Extreme	16	0.7792511	¿Cómo?	1
4	cuéntame algo	cuéntame algo	0	0.98001736	Mike dijo que todos conocemos listo que es el punto de una broma más inteligente.	1
5	qué música te gusta	qué música te gusta	0	0.98001736	Mis grupos favoritos son Radiohead, Daft Punk y Rammstein. ¿Los conoces?	1
6	no y películas	ipeliculas	7	0.64182681	¿Que dijiste?	1
7	cuál es tu actor favorito	cuál es tu actor favorito	0	0.98001736	Mi actor favorito es Rutger Hauer en "Blade Runner".	1
8	recomiendame una película	recomiendame una película	0	0.98146969	Mi película favorita es Robocop. La has visto?	1
9	gracias	gracies	1	0.82159615	Repite porfavor	1
10	adiós	adiós	0	0.85408729	Hasta luego.	1
