1	hola		4	-1	¿Cuál es tu mejor recuerdo de infancia?	0
2	como te llamas		14	-1	¿Cuál es tu mejor recuerdo de infancia?	0
3	cómo estás		12	-1	¿Crees que hay vida después de la muerte?	0
4	qué haces		10	-1	¿Crees que las máquinas son inteligentes?	0
5	cuéntame algo		14	-1	¿Cuál es tu película favorita?	0
6	qué musica te gusta		20	-1	Cuentame una historia.	0
7	y películas	ipeliculas	4	0.86481392	¿Cómo?	0
8	cuál es tu actor favorito	cuál es tu color favorito	3	0.98087358	¿Cuál es tu color favorito?	0
9	recomiéndame una película	película	18	0.84822637	Mi película favorita es "Robocop".	1
10	gracias	gracias	0	0.96156687	A la orden.	1
