1	qué deporte te gusta	qué deporte te gusta	0	0.96276569	Qué crees?	0
2	en qué lugar queda china		25	-1	¿Cuál es tu color favorito?	0
3	el azul	el azul	0	0.88135993	Cuáles son tus metas en la vida	0
4	que cosas más te gustan		24	-1	¿Dónde te gustaría ir de vacaciones?	0
5	a china		7	-1	¿Cúal es tu actriz favorita?	0
6	Jennifer López	fer López	5	0.80713707	No he escuchado bien, podrias repetir lo que haz dicho.	0
7	quién fue el conquistador de américa	quién fue el conquistador de	9	0.92105514	David Bacon. :-)	1
8	quién es Américo Vespucio	quién es Américo Vespucio	0	0.92693841	¿Acaso crees que soy una enciclopedia viviente?	1
9	donde está panamá en que continente está panamá		51	-1	¿Dónde te gustaría ir de vacaciones?	0
10	a Panamá	a Panamá	0	0.96655279	No he escuchado bien, podrias repetir lo que haz dicho.	1
11	me gustaría ir a Panamá	me gustaría ir a Panamá	0	0.97720969	¿Cómo?	1
12	adiós		6	-1	¿Crees que las máquinas pueden pensar?	1
